                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4449,                 4.4085,                 2.0548,                0.04518,                0.02569,                0.02612,                0.01109,                 2.0107,                  4.338,                 1.7064,              4.116e-05,              4.116e-05,              4.116e-05
                      2,                 2.2421,                 4.2653,                 1.8611,                0.03368,                0.07443,                0.04363,                0.01785,                 1.8352,                 4.2498,                 1.5274,             8.7763e-05,             8.7763e-05,             8.7763e-05
                      3,                  2.013,                 3.8823,                 1.6888,                0.03035,                0.13199,                0.06608,                0.02704,                 1.7922,                 4.0687,                 1.4171,              0.0001339,              0.0001339,              0.0001339
                      4,                 1.9406,                  3.347,                 1.5614,                0.03499,                0.17154,                0.08068,                0.03396,                 1.8607,                 3.7035,                 1.3755,             0.00017957,             0.00017957,             0.00017957
                      5,                 1.9426,                 2.8237,                  1.519,                0.95747,                0.08014,                0.09358,                0.03821,                 1.9394,                 2.9385,                 1.4391,             0.00022478,             0.00022478,             0.00022478
                      6,                 1.8804,                 2.4454,                 1.5077,                0.95732,                0.08677,                0.09867,                 0.0428,                  1.896,                 2.8024,                 1.4451,             0.00026952,             0.00026952,             0.00026952
                      7,                 1.7998,                 2.1499,                 1.4666,                0.95628,                0.07702,                0.09666,                 0.0449,                 1.8997,                 2.8068,                 1.5201,              0.0003138,              0.0003138,              0.0003138
                      8,                  1.745,                 2.0452,                  1.481,                0.95185,                0.08042,                0.09315,                0.04212,                 1.9772,                 2.8679,                 1.6545,              0.0003576,              0.0003576,              0.0003576
                      9,                 1.8049,                 1.9838,                 1.5214,                0.84049,                0.12782,                0.15427,                0.07181,                 1.9595,                 2.5069,                 1.5936,             0.00040095,             0.00040095,             0.00040095
                     10,                 1.7333,                 1.8147,                 1.4745,                0.64498,                0.19279,                0.17775,                 0.0851,                 1.9531,                 2.3066,                  1.588,             0.00044383,             0.00044383,             0.00044383
